题号,题干,选项A,选项B,选项C,选项D,答案
21,"在一个有向图中有10个结点,入度之和()出度之和。",小于,等于,大于,不确定,B
22,以下正确的是()。,回路不是通路的特殊情况,回路是通路的特殊情况,A和C都正确,以上全部错误,B
23,"若无向图G是平凡图或者G中任何两个顶点都是连通的,则称G为()。",有向图,连通图,集合,边,B
24,"设A(G)是有向图G=(V, E)的邻接矩阵,其中第i行中值为1的元素数目为()。",结点Vi的入度,结点Vi的度数,结点Vi的出度,结点Vj的度数,C
25,有向图D是欧拉图当且仅当D是强连通的而且每个顶点的入度()出度。,小于,等于,大于,不确定,B
26,连通无回路的无向图称为()。,无向树,有向树,森林,节点,A
27,无向图G有生成树当且仅当G是()。,非平凡图,弱连通图,强连通图,连通图,D
28,根树中()可达根树的任意其他结点。,根,分支点,树叶,内点,A
29,无向完全图Kn有()条边。,n,n^2,n(n-1),n(n-1)/2,D
30,连通无回路的无向图称为()。,无向树,树,AB都对,以上全部错,C
31,在有向图中射入一结点的边数是该结点的()。,入度,出度,A和B都正确,以上全部错误,A
32,"设V={a,b,c,d,e,f},E={<a,b>,<b,c>,<c,a>,<a,d>,<d,e>,<f,e>},则有向图G=<V,E>是()",强连通图,单向连通图,弱连通图,不连通图,C
33,邻接矩阵具有对称性的图一定是(),有向图,无向图,混合图,简单图,B
34,具有哈密顿回路的图称为()。,哈密顿图,哈密顿回路,哈密顿通路,哈密顿,A
35,"无向图G是树,则其边数大于等于其顶点数减()。",1,2,3,4,A
36,"设G为n阶m条边的无向连通图,则()。",m≥n+1,m<n+1,m≤n-1,m≥n-1,D
37,"根树T的每个分支点恰好有r个儿子,称T为()。",r叉正则树,r-1叉正则树,r+1叉正则树,以上全部错误,A
38,仅由一个孤立顶点组成的图称为()。,完全图,平凡图,多重图,子图,B
39,顶点数称为图的()。,阶,回路,结点,通路,A
40,下列图的结点度数序列哪个可以图解为一个无向简单图?,(1 1 1 2 3),(1 3 4 4),(2 3 3 4 4 5),(1 2 2 3 4 5),A
41,含5个结点、4条边的不同构的无向简单图有()个。,5,7,4,6,D
42,"设G=<V,E>为无环的无向图,|V|=6,|E|=16,则G是()。",完全图,零图,简单图,多重图,D
43,"平面图G的对偶图是G*,它们的点,边,面数分别是:v,e,r和v*,e*,r*,则下列各式不成立的是()。",v*=r,e=e*,e=r*,r=v*,C
44,"一颗树有两个2度结点,1个3度结点和3个4度结点,则1度结点数为()",5,7,9,8,C
45,"设G是一个哈密尔顿图,则G一定是()。",欧拉图,树,平面图,连通图,D
46,一棵无向树的顶点数n与边数m关系是()。,n=m,m=n+1,n=m+1,不能确定,C
47,"设无向图G有16条边且每个顶点的度数都是2,则图G有()个顶点。",10,4,8,16,D
48,"设无向图G有18条边且每个顶点的度数都是3,则图G有()个顶点。",10,4,8,12,D
49,"具有6个顶点,12条边的连通简单平面图中,每个面都是由()条边围成?",2,4,3,5,C
50,"在有n个顶点的连通图中,其边数()。",最多有n-1条,至少有n-1条,最多有n条,至少有n条,B
51,下列哪一种图不一定是树()。,无简单回路的连通图,有n个顶点n-1条边的连通图,每对顶点间都有通路的图,连通但删去一条边便不连通的图,C
52,"对于无向图,下列说法中()是正确的。",不含平行边及环的图称为完全图,任何两个不同结点都有边相连且无平行边及环的图称为完全图,具有经过每条边一次且仅一次回路的图称为哈密尔顿图,具有经过每个结点一次且仅一次回路的图称为欧拉图,B
53,"设G是连通平面图,有v个结点,e条边,r个面,则r=()。",e-v+2,v+e-2,e-v-2,e+v+2,A
54,"无向图G存在欧拉通路,当且仅当()。",G中所有结点的度数全为偶数,G中至多有两个奇数度结点,G连通且所有结点的度数全为偶数,G连通且至多有两个奇数度结点,D
55,"设完全图Kn有n个结点(n≥2),m条边,当()时,Kn中存在欧拉回路。",m为奇数,n为偶数,n为奇数,m为偶数,C
56,"无向简单图G是棵树,当且仅当()。",G连通且边数比结点数少1,G连通且结点数比边数少1,G的边数比结点数少1,G中没有回路,A
57,"已知一棵无向树T中有8个结点,4度,3度,2度的分支点各一个,T的树叶数为()。",8,5,4,3,B
58,"一个图有5个顶点,度数分别为2,3,3,4,4,则边数是()",6,7,8,9,C
59,无向完全图K4的边数是(),4,5,6,7,C
60,下面哪种图一定是连通图(),有生成树的图,有回路的图,欧拉图,哈密顿图,A
61,一个图是二部图的充要条件是(),图中无奇度顶点,图中无偶度顶点,图中无奇数长度的回路,图中无偶数长度的回路,C
62,"设G是n阶无向简单图,若G中任意两个不相邻的顶点度数之和(),则G是哈密顿图。",大于等于n,大于n,小于n,小于等于n,A
63,欧拉图中所有顶点的度数都是(),奇数,偶数,0,1,B
64,"一个连通无向图G有n个顶点,m条边,若G是树,则()",m = n - 1,m = n,m = n + 1,m与n无固定关系,A
65,有向图D中顶点v的出度d+(v)与入度d-(v)之和等于()。,D的边数,D的顶点数,D的度数,D的路径数,C
66,以下哪种图一定有欧拉回路(),连通图,连通且每个顶点度数为偶数的图,连通且每个顶点度数为奇数的图,有生成树的图,B
67,"设图G的邻接矩阵为[[0,1,1,0,0],[1,0,0,1,1],[1,0,0,0,0],[0,1,0,0,1],[0,1,0,1,0]],则G的边数为()",6,5,4,3,B
68,"已知图G的邻接矩阵为[[0,1,0,1,1],[1,0,0,0,1],[0,0,0,1,1],[1,0,1,0,1],[1,1,1,1,0]],则G有()","5点,8边","6点,7边","6点,8边","5点,7边",D
69,"设图G=<V,E>,则下列结论成立的是()",deg(V)=2|E|,deg(V)=|E|,∑deg(v)=2|E|,∑deg(v)=|E|,C
70,"图G如图一所示,以下说法正确的是()","{(a,d)}是割边","{(a,d)}是边割集","{(d,e)}是边割集","{(a,d),(a,c)}是边割集",C
71,"图G如图二所示,以下说法正确的是()",e是割点,"{a,e}是点割集","{b,e}是点割集",{d}是点割集,B
72,"设有向图(a)、(b)、(c)与(d)如图四所示,则下列结论成立的是()",(a)是强连通的,(b)是强连通的,(c)是强连通的,(d)是强连通的,D
73,"设完全图Kn有n个结点(n≥2),m条边,当()时,Kn中存在欧拉回路",m为奇数,n为偶数,n为奇数,m为偶数,C
74,"设G是连通平面图,有v个结点,e条边,r个面,则r=()",e-v+2,v+e-2,e-v-2,e+v+2,A
75,"无向图G存在欧拉通路,当且仅当()",G中所有结点的度数全为偶数,G中至多有两个奇数度结点,G连通且所有结点的度数全为偶数,G连通且至多有两个奇数度结点,D
76,"设G是有n个结点,m条边的连通图,必须删去G的()条边,才能确定G的一棵生成树。",m-n+1,m-n,m+n+1,n-m+1,A
77,"无向简单图G是棵树,当且仅当()",G连通且边数比结点数少1,G连通且结点数比边数少1,G的边数比结点数少1,G中没有回路,A
78,"设D=<V,E>为有向图, V={a,b,c,d,e,f}, E={<a,b>,<b,c>,<a,d>,<d,e>,<f,e>}是()",强连通图,单向连通图,弱连通图,不连通图,C
79,以下非负整数列可简单图化为一个欧拉图的是(),"{2,2,2,2,0}","{4,2,6,2,2}","{2,2,3,4,1}","{4,2,2,4,2}",B
80,"一棵树有3个4度顶点,4个2度顶点其余都是树叶,求这棵树有多少个树叶顶点()",12,8,10,13,D
81,"如第11题图所示各图,其中存在哈密顿回路的图是()",(A),(B),(C),(D),A
82,"当n等于奇数时,完全图Kn既是欧拉图又是哈密顿图",该说法是错误的,该说法是正确的,不确定,视情况而定,B
83,下面四组数能构成无向简单图的度数列的有(),"(2,2,2,2,2)","(1,1,2,2,3)","(1,1,2,2,2)","(0,1,3,3,3)",A
84,下图中是哈密顿图的为(),(A),(B),(C),(D),B
85,"如果一个有向图D是强连通图,则D是欧拉图,这个命题的真值为()",真,假,不确定,视情况而定,B
86,下列偏序集()能构成格。,(A),(B),(C),(D),D
87,图相对于完全图的补图为(),(A),(B),(C),(D),C
88,"对图G,则k(G),λ(G),δ(G)分别为()","(2,2,2)","(1,1,2)","(2,1,2)","(1,2,2)",B
89,"一棵无向树T有8个顶点,4度、3度、2度的分枝点各1个,其余顶点均为树叶,则T中有()片树叶。",3,4,5,6,C
90,"设S={1,2,3},S上关系R的关系图为(图中所示),则R具有()性质。",自反性、对称性、传递性,反自反性、反对称性,反自反性、反对称性、传递性,自反性,A
91,下面偏序集()能构成格。,(A),(B),(C),(D),A
92,"在如下的有向图中,从V1到V4长度为3的道路有()条。",1,2,3,4,B
93,在如下各图中()欧拉图。,(A),(B),(C),(D),A
94,"如右图,相对于完全图K5的补图为()",(A),(B),(C),(D),B
95,"一棵无向树T有7片树叶,3个3度顶点,其余顶点均为4度。则T有()4度结点。",1,2,3,4,C
